wazuh.indexer-1  | [2026-05-05T12:29:39,680][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Auditing of external configuration is disabled.
wazuh.indexer-1  | [2026-05-05T12:29:39,680][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Auditing of internal configuration is enabled.
wazuh.indexer-1  | [2026-05-05T12:29:39,681][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Auditing only metadata information for read request is enabled.
wazuh.indexer-1  | [2026-05-05T12:29:39,681][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Auditing will watch {} for read requests.
wazuh.indexer-1  | [2026-05-05T12:29:39,682][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Auditing read operation requests from kibanaserver users is disabled.
wazuh.indexer-1  | [2026-05-05T12:29:39,682][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Auditing only metadata information for write request is enabled.
wazuh.indexer-1  | [2026-05-05T12:29:39,683][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Auditing diffs for write requests is disabled.
wazuh.indexer-1  | [2026-05-05T12:29:39,683][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Auditing write operation requests from kibanaserver users is disabled.
wazuh.indexer-1  | [2026-05-05T12:29:39,684][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Auditing will watch <NONE> for write requests.
wazuh.indexer-1  | [2026-05-05T12:29:39,685][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] .opendistro_security is used as internal security index.
wazuh.indexer-1  | [2026-05-05T12:29:39,686][INFO ][o.o.s.a.i.AuditLogImpl   ] [wazuh.indexer] Internal index used for posting audit logs is null
wazuh.indexer-1  | [2026-05-05T12:29:39,691][INFO ][o.o.s.c.ConfigurationRepository] [wazuh.indexer] Hot-reloading of audit configuration is enabled
wazuh.indexer-1  | [2026-05-05T12:29:39,691][INFO ][o.o.s.c.ConfigurationRepository] [wazuh.indexer] Node 'wazuh.indexer' initialized
wazuh.indexer-1  | [2026-05-05T12:29:41,985][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[.kibana_1/ASMOtOGzTU-z1QWtV5Lczg]
